customer_id,signup_date,region,plan_tier
1,2023-08-17,West,Free
2,2024-05-16,east,Pro
3,2023-06-28,south,Basic
4,2024-03-23,East,Basic
5,2023-02-24,East,Free
6,2025-05-09,East,Free
7,2024-07-23,West,Free
8,2023-11-23,South,Pro
9,2023-11-15,East,Basic
10,2024-11-20,west,Basic
11,2025-01-05,North,Free
12,2023-03-30,South,Enterprise
13,2025-02-14,West,Pro
14,2025-01-10,East,Free
15,2023-04-04,East,Free
16,2023-06-13,East,Free
17,2025-02-17,North,Free
18,2025-01-17,East,Free
19,2024-03-05,North,Free
20,2023-05-27,East,Free
21,2024-05-16,East,Basic
22,2024-07-06,East,Free
23,2023-04-25,East,Free
24,2024-10-08,south,Free
25,2024-10-06,East,Free
26,2025-03-21,south,Basic
27,2024-05-20,North,Free
28,2025-05-27,South,Free
29,2023-10-11,south,Basic
30,2023-08-13,East,Free
31,2025-05-14,West,Basic
32,2025-08-16,North,Free
33,2023-01-24,West,Free
34,2024-06-30,NORTH,Pro
35,2023-11-20,S,Enterprise
36,2024-06-23,East,Basic
37,2023-08-06,North,Free
38,2025-11-05,east,Free
39,2025-12-22,West,Basic
40,2025-09-27,WEST,Free
41,2024-09-21,E,Free
42,2023-06-11,West,Free
43,2023-05-22,EAST,Free
44,2023-12-05,North,Pro
45,2025-05-16,East,Free
46,2024-02-16,North,Basic
47,2025-02-03,South,Free
48,2025-07-13,west,Free
49,2024-11-23,West,Free
50,2024-04-16,E,Free
51,2023-05-01,east,Enterprise
52,2024-11-07,West,Basic
53,2024-07-24,south,Pro
54,2025-08-26,East,Pro
55,2025-04-13,E,Basic
56,2025-06-01,North,Pro
57,2025-08-14,West,Free
58,2023-07-21,West,Free
59,2024-11-25,west,Free
60,2025-07-07,East,Free
61,2024-07-24,south,Free
62,2025-06-26,W,Free
63,2023-01-31,West,Basic
64,2024-04-29,East,Free
65,2025-09-12,East,Free
66,2023-05-01,East,Free
67,2025-03-10,North,Free
68,2025-07-20,North,Basic
69,2025-09-23,east,Free
70,2023-04-30,West,Enterprise
71,2023-04-28,West,Basic
72,2025-10-26,E,Free
73,2023-06-14,east,Free
74,2024-04-26,S,Basic
75,2024-05-19,West,Basic
76,2025-05-08,North,Basic
77,2024-02-23,NORTH,Basic
78,2023-09-26,North,Free
79,2023-05-29,West,Free
80,2023-07-24,West,Free
81,2025-11-02,NORTH,Pro
82,2023-05-21,East,Basic
83,2023-11-20,South,Free
84,2024-09-11,West,Free
85,2024-09-05,West,Free
86,2023-10-03,north,Free
87,2023-11-15,north,Basic
88,2024-12-03,East,Basic
89,2024-06-24,south,Pro
90,2023-07-09,South,Free
91,2023-04-01,West,Free
92,2023-09-25,NORTH,Basic
93,2025-05-25,W,Basic
94,2023-11-02,West,Basic
95,2023-10-31,SOUTH,Basic
96,2025-01-16,West,Free
97,2024-03-06,East,Free
98,2024-12-25,South,Free
99,2023-11-13,East,Free
100,2023-12-29,S,Free
101,2024-11-11,South,Free
102,2024-05-23,N,Basic
103,2023-08-10,South,Free
104,2025-08-21,EAST,Free
105,2024-12-17,North,Pro
106,2024-04-11,east,Free
107,2025-03-27,north,Free
108,2024-07-25,North,Basic
109,2025-03-29,North,Free
110,2023-08-25,NORTH,Free
111,2023-03-20,West,Free
112,2024-12-08,North,Free
113,2025-11-13,West,Pro
114,2024-01-25,NORTH,Basic
115,2023-01-04,East,Basic
116,2023-05-24,North,Pro
117,2023-09-13,North,Basic
118,2025-04-16,North,Free
119,2024-08-28,E,Pro
120,2025-02-15,East,Free
121,2024-09-08,South,Basic
122,2023-01-01,NORTH,Pro
123,2024-10-21,South,Free
124,2024-03-13,South,Free
125,2023-12-14,W,Free
126,2024-11-17,West,Free
127,2024-04-26,north,Basic
128,2023-10-29,WEST,Pro
129,2023-05-30,South,Free
130,2024-02-03,South,Free
131,2024-05-14,East,Free
132,2023-01-12,West,Free
133,2024-03-24,East,Free
134,2025-11-26,south,Free
135,2023-09-06,SOUTH,Pro
136,2025-12-23,North,Free
137,2025-06-25,South,Free
138,2025-07-02,East,Basic
139,2025-08-30,south,Free
140,2024-07-21,South,Enterprise
141,2024-07-16,SOUTH,Enterprise
142,2024-04-25,North,Free
143,2023-06-15,EAST,Free
144,2023-11-09,EAST,Free
145,2024-11-08,South,Free
146,2024-02-28,South,Free
147,2023-02-10,South,Basic
148,2024-12-21,North,Free
149,2025-05-08,East,Free
150,2024-07-12,South,Free
151,2025-03-07,North,Pro
152,2025-04-08,East,Free
153,2023-09-19,West,Free
154,2023-02-25,West,Free
155,2023-10-05,SOUTH,Enterprise
156,2025-02-15,NORTH,Free
157,2024-11-22,SOUTH,Basic
158,2024-05-31,West,Basic
159,2023-04-17,north,Free
160,2023-03-24,West,Basic
161,2024-02-13,West,Free
162,2024-05-03,East,Basic
163,2023-08-23,East,Basic
164,2024-06-08,N,Free
165,2023-08-23,East,Free
166,2023-08-10,West,Pro
167,2025-02-07,South,Free
168,2024-02-11,West,Free
169,2024-05-12,West,Free
170,2024-09-09,West,Basic
171,2023-03-26,North,Basic
172,2025-01-28,West,Free
173,2024-11-29,West,Free
174,2025-09-30,West,Free
175,2025-01-11,South,Basic
176,2025-06-10,East,Free
177,2024-07-07,South,Basic
178,2024-07-03,North,Free
179,2023-06-27,North,Pro
180,2024-05-14,South,Free
181,2025-02-15,NORTH,Free
182,2024-01-08,SOUTH,Free
183,2024-11-28,North,Pro
184,2024-07-19,West,Pro
185,2024-01-27,WEST,Free
186,2025-09-27,East,Basic
187,2025-10-02,South,Basic
188,2023-07-10,N,Basic
189,2024-05-13,North,Free
190,2025-01-25,South,Free
191,2024-12-05,South,Free
192,2024-11-08,North,Pro
193,2024-07-08,north,Pro
194,2024-01-30,N,Basic
195,2024-01-15,EAST,Free
196,2024-07-20,North,Free
197,2024-02-02,north,Basic
198,2024-09-11,West,Pro
199,2023-09-17,north,Pro
200,2024-08-21,East,Basic
201,2025-10-02,West,Basic
202,2024-08-05,South,Free
203,2024-11-28,East,Free
204,2024-06-01,south,Pro
205,2025-03-31,S,Basic
206,2023-04-20,E,Free
207,2024-09-14,West,Free
208,2023-08-31,South,Basic
209,2024-04-07,South,Free
210,2025-06-25,North,Free
211,2025-05-28,North,Free
212,2023-05-04,West,Basic
213,2024-03-01,east,Basic
214,2023-11-18,east,Free
215,2023-11-17,West,Basic
216,2025-08-20,NORTH,Free
217,2024-08-02,south,Free
218,2024-06-25,East,Basic
219,2024-04-05,East,Basic
220,2023-10-19,WEST,Pro
221,2024-08-14,S,Basic
222,2024-09-14,South,Basic
223,2025-10-21,South,Free
224,2023-03-23,South,Free
225,2024-05-27,W,Free
226,2023-02-12,North,Free
227,2023-12-25,South,Enterprise
228,2025-06-24,N,Free
229,2025-06-11,South,Pro
230,2025-08-20,North,Basic
231,2024-10-19,West,Basic
232,2024-11-06,South,Free
233,2024-08-13,South,Basic
234,2023-03-17,SOUTH,Free
235,2024-10-24,West,Free
236,2025-04-07,West,Basic
237,2025-08-04,S,Free
238,2025-01-10,South,Free
239,2023-04-16,east,Basic
240,2024-08-12,South,Free
241,2025-09-19,W,Pro
242,2024-05-05,East,Pro
243,2023-01-29,south,Pro
