spend_id,month,channel,amount_spent
1,2023-01,Paid Search,3586.28
2,2023-01,Organic,18824.72
3,2023-01,Referral,1006.72
4,2023-01,Email,5775.26
5,2023-02,Paid Search,11559.39
6,2023-02,Organic,6920.5
7,2023-02,Referral,18537.99
8,2023-02,Email,12649.23
9,2023-03,Paid Search,19226.24
10,2023-03,Organic,2125.22
11,2023-03,Referral,8797.14
12,2023-03,Email,3732.04
13,2023-04,Paid Search,16626.38
14,2023-04,Organic,15527.27
15,2023-04,Referral,16332.78
16,2023-04,Email,19067.3
17,2023-05,Paid Search,5606.8
18,2023-05,Organic,15939.94
19,2023-05,Referral,13275.61
20,2023-05,Email,8428.99
21,2023-06,Paid Search,4674.05
22,2023-06,Organic,16852.25
23,2023-06,Referral,2340.1
24,2023-06,Email,19303.79
25,2023-07,Paid Search,6248.14
26,2023-07,Organic,17960.13
27,2023-07,Referral,3345.96
28,2023-07,Email,15053.44
29,2023-08,Paid Search,18942.48
30,2023-08,Organic,3885.08
31,2023-08,Referral,9424.25
32,2023-08,Email,13772.52
33,2023-09,Paid Search,15451.11
34,2023-09,Organic,1204.61
35,2023-09,Referral,3228.55
36,2023-09,Email,6912.05
37,2023-10,Paid Search,2949.63
38,2023-10,Organic,12942.37
39,2023-10,Referral,9951.08
40,2023-10,Email,13548.01
41,2023-11,Paid Search,6677.62
42,2023-11,Organic,3372.43
43,2023-11,Referral,15115.32
44,2023-11,Email,9632.98
45,2023-12,Paid Search,2337.65
46,2023-12,Organic,19600.87
47,2023-12,Referral,18299.62
48,2023-12,Email,7486.17
49,2024-01,Paid Search,6169.95
50,2024-01,Organic,19771.23
51,2024-01,Referral,8248.53
52,2024-01,Email,17931.22
53,2024-02,Paid Search,3143.91
54,2024-02,Organic,9863.99
55,2024-02,Referral,12114.59
56,2024-02,Email,17648.6
57,2024-03,Paid Search,14137.3
58,2024-03,Organic,16094.66
59,2024-03,Referral,15410.73
60,2024-03,Email,5268.03
61,2024-04,Paid Search,2957.95
62,2024-04,Organic,19954.5
63,2024-04,Referral,12463.01
64,2024-04,Email,12381.89
65,2024-05,Paid Search,7888.44
66,2024-05,Organic,17517.86
67,2024-05,Referral,13633.3
68,2024-05,Email,16897.47
69,2024-06,Paid Search,19301.64
70,2024-06,Organic,9011.81
71,2024-06,Referral,13123.14
72,2024-06,Email,17438.18
73,2024-07,Paid Search,6323.87
74,2024-07,Organic,14756.99
75,2024-07,Referral,6241.45
76,2024-07,Email,5781.75
77,2024-08,Paid Search,10648.65
78,2024-08,Organic,8973.26
79,2024-08,Referral,16889.63
80,2024-08,Email,19678.65
81,2024-09,Paid Search,2578.77
82,2024-09,Organic,2921.49
83,2024-09,Referral,16313.84
84,2024-09,Email,5612.14
85,2024-10,Paid Search,10404.55
86,2024-10,Organic,12230.6
87,2024-10,Referral,13646.94
88,2024-10,Email,2975.34
89,2024-11,Paid Search,15837.52
90,2024-11,Organic,14462.05
91,2024-11,Referral,11652.74
92,2024-11,Email,16910.83
93,2024-12,Paid Search,8140.62
94,2024-12,Organic,10860.37
95,2024-12,Referral,18579.62
96,2024-12,Email,8269.16
97,2025-01,Paid Search,12431.58
98,2025-01,Organic,12216.52
99,2025-01,Referral,16078.4
100,2025-01,Email,19127.36
101,2025-02,Paid Search,11936.88
102,2025-02,Organic,3231.99
103,2025-02,Referral,15516.58
104,2025-02,Email,7853.32
105,2025-03,Paid Search,13779.58
106,2025-03,Organic,18172.0
107,2025-03,Referral,9014.76
108,2025-03,Email,8481.16
109,2025-04,Paid Search,15141.89
110,2025-04,Organic,7598.78
111,2025-04,Referral,15974.59
112,2025-04,Email,17192.43
113,2025-05,Paid Search,11893.55
114,2025-05,Organic,10932.54
115,2025-05,Referral,18863.74
116,2025-05,Email,16450.05
117,2025-06,Paid Search,12934.25
118,2025-06,Organic,15774.98
119,2025-06,Referral,13712.3
120,2025-06,Email,1487.17
121,2025-07,Paid Search,11771.67
122,2025-07,Organic,1458.74
123,2025-07,Referral,18973.05
124,2025-07,Email,2877.28
125,2025-08,Paid Search,18492.72
126,2025-08,Organic,16236.01
127,2025-08,Referral,14852.09
128,2025-08,Email,17139.17
129,2025-09,Paid Search,5816.77
130,2025-09,Organic,16549.0
131,2025-09,Referral,7536.94
132,2025-09,Email,19498.01
133,2025-10,Paid Search,5725.32
134,2025-10,Organic,9474.13
135,2025-10,Referral,1908.18
136,2025-10,Email,9705.89
137,2025-11,Paid Search,19828.54
138,2025-11,Organic,6000.3
139,2025-11,Referral,16079.18
140,2025-11,Email,4978.24
141,2025-12,Paid Search,15645.37
142,2025-12,Organic,11398.28
143,2025-12,Referral,7115.74
144,2025-12,Email,8625.1
