order_id,customer_id,order_date,revenue,channel
1,781,2025-01-12,32.57,Paid Search
2,102,2025-09-05,108.29,
3,128,2024-04-07,192.92,Email
4,468,2025-05-22,160.73,Email
5,208,2025-08-05,175.59,
6,666,2025-07-10,49.33,
7,281,2024-10-27,20.62,Referral
8,257,2024-07-16,72.45,Referral
9,681,2025-10-11,83.34,Organic
10,54,2025-12-05,145.65,Referral
11,744,2025-08-09,10.0,Organic
12,440,2024-08-02,171.77,Paid Search
13,2,2024-12-20,70.52,Email
14,80,2023-12-06,54.39,Organic
15,532,2025-12-30,19.27,
16,10,2024-11-24,10.0,
17,124,2025-05-19,129.39,Organic
18,490,2023-11-17,84.4,Organic
19,393,2023-06-18,10.0,Paid Search
20,106,2025-02-25,10.0,
21,307,2024-11-24,59.85,Email
22,793,2024-12-06,180.14,Organic
23,71,2024-10-22,64.42,Paid Search
24,625,2025-06-15,10.0,Organic
25,451,2025-05-22,65.26,Organic
26,644,2025-07-16,63.64,Organic
27,422,2025-08-06,10.0,
28,223,2025-11-01,76.74,Paid Search
29,144,2025-12-18,66.14,Paid Search
30,604,2025-12-24,121.77,Email
31,360,2025-07-06,190.94,Referral
32,144,2024-07-19,147.59,Referral
33,661,2025-10-07,63.87,Organic
34,567,2025-03-27,13.61,Paid Search
35,675,2025-12-23,234.4,Organic
36,531,2025-12-16,83.55,Organic
37,766,2025-10-20,80.84,Referral
38,662,2025-01-18,78.55,Organic
39,507,2025-06-07,91.89,Paid Search
40,247,2025-11-17,71.34,
41,541,2024-10-20,45.58,Referral
42,325,2023-11-19,47.19,Email
43,583,2025-06-11,78.03,Referral
44,560,2025-01-17,47.39,Email
45,789,2024-11-27,37.23,
46,602,2025-11-05,86.39,Paid Search
47,269,2024-03-01,64.7,Paid Search
48,62,2025-10-05,170.24,
49,644,2025-06-09,10.0,Email
50,434,2025-06-04,145.49,
51,85,2025-07-29,154.77,
52,285,2025-05-02,10.0,Referral
53,81,2025-12-04,59.44,
54,160,2024-09-23,57.71,Referral
55,401,2025-08-11,10.0,Paid Search
56,318,2025-08-03,33.33,Organic
57,60,2025-09-07,13.37,Paid Search
58,445,2023-10-21,185.14,
59,627,2025-04-09,136.14,Paid Search
60,317,2024-02-07,156.29,Paid Search
61,13,2025-04-25,123.3,Paid Search
62,168,2025-07-03,12.26,Referral
63,536,2025-08-16,48.53,Referral
64,171,2024-04-09,109.36,Organic
65,768,2025-12-20,10.0,Referral
66,751,2025-05-06,122.78,Paid Search
67,344,2025-12-10,65.58,Email
68,279,2025-09-02,57.51,Paid Search
69,270,2023-08-05,122.66,Email
70,467,2025-06-07,106.66,Referral
71,57,2025-12-19,58.34,Organic
72,377,2025-01-15,149.56,Referral
73,792,2023-09-17,15.14,
74,234,2025-04-13,116.96,Paid Search
75,46,2024-02-28,115.59,Organic
76,48,2025-11-10,61.43,Referral
77,393,2025-10-16,99.57,Organic
78,184,2024-08-24,10.0,
79,230,2025-11-10,135.44,Organic
80,427,2025-11-09,68.91,Referral
81,278,2024-02-07,48.64,Referral
82,123,2025-07-05,142.94,Paid Search
83,184,2025-03-04,37.74,Paid Search
84,411,2024-12-08,10.0,Email
85,290,2025-05-22,10.0,Referral
86,336,2024-12-10,116.36,Email
87,9,2024-11-26,10.0,Organic
88,299,2024-10-12,185.29,Organic
89,476,2025-03-31,10.0,Email
90,792,2025-08-06,181.79,Organic
91,751,2025-12-11,92.66,Organic
92,155,2023-10-11,74.2,Email
93,25,2025-02-02,47.3,Referral
94,652,2025-12-28,103.95,Referral
95,2,2025-06-05,77.74,Referral
96,107,2025-07-10,146.2,
97,430,2025-03-15,86.85,Paid Search
98,146,2024-12-10,89.02,
99,45,2025-07-14,58.18,Email
100,718,2025-10-02,76.58,
101,766,2025-08-02,98.47,Paid Search
102,518,2023-12-20,10.0,
103,77,2025-10-21,10.0,Paid Search
104,446,2025-12-17,124.6,Organic
105,243,2024-09-17,90.25,Referral
106,323,2024-11-29,68.96,Referral
107,326,2025-06-13,81.11,Referral
108,240,2024-09-19,100.85,
109,140,2024-11-09,47.61,Organic
110,109,2025-06-21,33.3,Email
111,478,2024-04-23,91.75,
112,124,2025-09-12,21.3,Referral
113,789,2025-02-04,104.5,Email
114,316,2025-11-15,10.0,Referral
115,123,2024-12-06,141.75,Organic
116,703,2025-09-23,108.36,Paid Search
117,221,2025-10-15,95.36,Referral
118,152,2025-05-24,138.96,Organic
119,365,2025-08-07,179.93,
120,694,2025-09-25,140.86,
121,179,2023-07-28,10.0,Email
122,464,2025-10-08,10.0,Organic
123,97,2025-06-22,42.51,Paid Search
124,144,2024-03-12,81.57,Paid Search
125,64,2024-12-12,111.06,Organic
126,203,2025-06-21,36.46,Referral
127,703,2025-12-16,91.21,Paid Search
128,597,2025-12-17,34.68,Referral
129,77,2024-03-16,43.31,Paid Search
130,203,2025-10-24,10.0,
131,132,2023-07-19,24.61,
132,126,2024-12-08,10.0,Email
133,52,2025-02-01,21.45,Email
134,742,2025-07-04,143.22,Email
135,31,2025-08-19,23.04,Email
136,177,2025-07-04,237.94,Organic
137,192,2025-03-28,109.6,Referral
138,457,2025-12-18,91.09,Organic
139,36,2025-03-01,28.5,Referral
140,511,2025-03-14,122.02,
141,63,2023-07-29,45.46,Referral
142,393,2023-08-06,87.32,Email
143,205,2025-12-25,233.61,Organic
144,646,2025-06-20,74.24,Paid Search
145,392,2025-08-09,148.96,Referral
146,492,2025-10-30,37.81,Email
147,353,2025-11-08,77.9,Referral
148,398,2025-11-26,186.25,Organic
149,27,2025-04-11,42.38,Organic
150,31,2025-12-29,188.75,
151,60,2025-11-04,122.47,Referral
152,786,2025-12-26,46.25,Organic
153,164,2024-09-18,117.94,
154,673,2025-07-31,138.35,Referral
155,547,2023-06-18,117.31,Organic
156,590,2025-10-10,10.0,
157,178,2024-12-30,36.37,
158,607,2025-12-07,65.15,Referral
159,606,2025-07-08,75.53,
160,582,2025-05-01,117.24,Organic
161,577,2024-07-06,90.66,
162,556,2025-10-15,10.0,Organic
163,503,2024-07-05,102.81,Paid Search
164,58,2024-03-15,116.64,Organic
165,21,2025-11-06,113.59,Email
166,1,2024-07-21,144.85,Organic
167,134,2025-12-17,130.04,Organic
168,332,2023-07-04,107.55,Paid Search
169,152,2025-06-19,75.79,Paid Search
170,539,2025-12-16,10.0,Referral
171,75,2025-06-05,105.78,Email
172,601,2023-11-29,92.46,Referral
173,310,2024-06-16,96.29,Organic
174,162,2025-07-24,10.0,Email
175,665,2024-04-21,15.14,Organic
176,725,2025-05-10,143.19,Referral
177,229,2025-11-28,77.63,Organic
178,388,2025-09-24,120.89,
179,131,2024-11-11,81.7,Paid Search
180,719,2025-12-14,81.79,Email
181,790,2025-12-30,136.3,Paid Search
182,187,2025-12-18,49.04,Referral
183,627,2024-03-08,85.77,Paid Search
184,509,2024-11-17,52.26,Referral
185,764,2025-10-02,53.93,
186,356,2024-11-29,61.45,Organic
187,652,2025-12-28,93.33,Referral
188,458,2024-02-07,51.28,Referral
189,215,2024-07-29,155.35,Paid Search
190,359,2024-12-03,26.32,Paid Search
191,738,2023-02-22,68.79,Paid Search
192,396,2024-06-16,53.62,Email
193,171,2025-09-16,166.82,Email
194,505,2025-12-31,91.79,Referral
195,560,2025-08-13,141.91,Paid Search
196,491,2025-12-11,10.0,Organic
197,167,2025-09-26,96.02,Paid Search
198,35,2024-09-16,133.38,Paid Search
199,327,2024-06-10,84.94,
200,76,2025-08-03,143.93,Organic
201,385,2024-07-22,48.96,
202,561,2025-12-09,164.56,Paid Search
203,347,2025-09-06,217.93,Email
204,722,2023-04-29,58.23,Email
205,670,2025-10-07,53.27,Email
206,161,2024-04-07,167.2,
207,340,2024-11-08,174.77,Organic
208,420,2025-11-19,48.63,Referral
209,677,2025-10-09,54.79,
210,244,2025-08-27,63.09,Paid Search
211,403,2025-12-17,10.0,Organic
212,56,2025-09-01,24.88,Paid Search
213,438,2023-07-09,19.75,Referral
214,678,2025-12-12,33.93,Email
215,205,2025-05-19,77.92,
216,212,2023-10-25,94.05,Referral
217,84,2025-05-11,173.03,Paid Search
218,316,2025-10-29,20.1,
219,501,2025-01-02,139.06,
220,658,2025-10-25,67.16,
221,190,2025-08-02,77.03,Email
222,379,2024-11-20,120.49,Email
223,46,2024-11-11,12.64,Email
224,477,2025-06-12,102.94,Organic
225,276,2024-08-06,89.99,Organic
226,771,2023-09-19,109.55,Paid Search
227,685,2025-07-15,97.35,Email
228,775,2024-11-19,227.32,Organic
229,567,2024-08-10,41.74,Email
230,536,2025-06-27,48.14,Email
231,587,2025-12-15,42.61,Organic
232,488,2025-01-17,46.67,Paid Search
233,405,2025-11-16,41.76,Paid Search
234,515,2025-05-28,151.34,Organic
235,124,2025-06-15,165.23,Organic
236,172,2025-05-16,45.76,Organic
237,130,2024-03-17,30.06,Email
238,81,2025-12-15,108.28,
239,207,2025-11-09,46.87,Organic
240,610,2024-06-18,117.98,Referral
241,745,2025-11-15,92.18,Paid Search
242,90,2024-08-09,10.0,Email
243,566,2024-05-09,172.85,Referral
244,533,2024-09-11,187.75,Paid Search
245,718,2025-12-18,43.23,Email
246,116,2024-07-21,56.74,
247,152,2025-05-29,97.15,Paid Search
248,577,2024-04-08,100.07,Referral
249,549,2024-12-02,119.51,Email
250,271,2024-05-21,200.61,Email
251,586,2025-12-08,69.38,Paid Search
252,177,2025-04-15,32.1,Email
253,148,2025-11-02,10.0,Email
254,40,2025-11-16,36.14,Referral
255,708,2024-08-13,78.01,Paid Search
256,764,2025-11-22,187.67,Referral
257,382,2023-06-26,48.94,Referral
258,311,2025-06-09,93.43,Referral
259,504,2024-10-24,79.01,Organic
260,138,2025-09-16,151.3,Email
261,793,2025-06-16,231.62,
262,747,2025-06-09,48.15,Paid Search
263,193,2025-10-03,50.63,Organic
264,417,2025-12-22,142.65,Email
265,778,2025-04-11,120.91,Paid Search
266,528,2025-10-30,190.8,Paid Search
267,319,2025-07-27,115.04,Email
268,139,2025-12-07,58.44,Paid Search
269,178,2025-01-16,115.44,Organic
270,60,2025-09-08,146.52,Paid Search
271,468,2025-06-03,129.23,Referral
272,722,2024-04-07,110.44,Referral
273,378,2025-11-26,144.0,Email
274,651,2024-12-22,150.16,Paid Search
275,248,2024-11-08,162.93,Email
276,609,2025-05-09,118.92,Organic
277,486,2025-11-27,69.97,Referral
278,353,2024-09-22,88.8,Referral
279,767,2023-07-24,152.39,Referral
280,29,2024-11-09,30.98,
281,167,2025-11-26,102.12,Organic
282,227,2025-10-17,56.4,Organic
283,694,2025-09-01,81.72,Referral
284,668,2025-05-06,156.71,Paid Search
285,800,2025-12-27,91.47,Paid Search
286,486,2025-08-02,82.79,Organic
287,616,2025-02-26,10.0,Organic
288,259,2025-07-22,124.78,Referral
289,730,2025-12-01,118.73,Referral
290,434,2025-12-19,209.8,Email
291,358,2025-09-29,61.53,Referral
292,224,2024-07-12,93.15,Referral
293,694,2025-11-21,94.96,Email
294,599,2023-09-29,174.65,Paid Search
295,524,2025-12-03,74.28,Referral
296,306,2025-07-27,96.74,Paid Search
297,494,2025-09-15,116.47,Referral
298,284,2025-07-20,91.2,Referral
299,284,2025-01-07,53.21,Referral
300,193,2024-12-08,91.65,Organic
301,59,2025-09-28,144.42,
302,677,2025-10-18,18.41,Organic
303,739,2023-07-21,87.98,Email
304,303,2025-10-28,37.99,
305,415,2025-11-10,151.7,
306,598,2025-10-09,10.0,Referral
307,744,2025-08-23,46.46,Organic
308,703,2025-11-21,102.63,Email
309,688,2025-05-09,173.93,Referral
310,175,2025-12-13,76.05,Organic
311,301,2024-09-27,46.69,Email
312,132,2024-06-24,192.87,Organic
313,697,2025-11-30,10.0,Referral
314,671,2025-05-14,10.0,Organic
315,364,2025-07-14,106.4,
316,431,2025-10-04,49.88,Referral
317,267,2025-12-15,18.73,Referral
318,475,2025-03-21,122.5,Email
319,55,2025-05-19,94.63,Email
320,200,2025-05-04,46.16,Paid Search
321,698,2024-07-12,10.0,Referral
322,424,2025-07-04,132.35,Organic
323,141,2025-02-06,119.01,Referral
324,420,2025-12-05,74.05,Email
325,147,2024-11-18,190.8,Organic
326,798,2024-05-30,15.79,Email
327,341,2025-12-25,10.0,Organic
328,321,2024-06-20,38.49,
329,463,2025-12-16,77.26,Organic
330,780,2024-10-19,94.6,Organic
331,502,2025-12-03,65.53,Organic
332,630,2024-07-13,101.12,Email
333,414,2025-03-19,10.0,Email
334,393,2023-03-23,166.63,Paid Search
335,547,2024-04-07,75.07,Referral
336,15,2025-10-03,147.04,Referral
337,776,2025-12-19,100.56,Organic
338,19,2024-03-09,107.41,Organic
339,232,2025-10-27,114.19,Referral
340,320,2024-07-10,106.86,Paid Search
341,393,2024-08-15,118.56,Referral
342,172,2025-03-02,159.75,Paid Search
343,306,2024-06-19,91.79,
344,746,2025-10-28,122.54,Referral
345,445,2025-12-20,74.62,Organic
346,351,2025-08-18,166.41,Referral
347,769,2025-10-28,39.42,
348,414,2024-01-24,188.06,Organic
349,230,2025-09-22,77.59,Organic
350,752,2024-03-19,10.0,Organic
351,127,2025-05-06,87.69,Paid Search
352,385,2025-11-25,39.14,
353,790,2025-12-13,130.44,Paid Search
354,609,2024-10-17,40.84,Paid Search
355,670,2025-09-18,53.23,
356,707,2024-09-07,10.0,Email
357,455,2025-03-08,52.86,Paid Search
358,561,2024-12-21,10.0,
359,719,2025-10-21,10.0,Organic
360,712,2025-12-31,125.62,Paid Search
361,309,2025-08-23,127.15,Paid Search
362,679,2024-11-28,105.53,Referral
363,638,2025-06-25,21.98,Email
364,108,2025-12-30,77.14,Paid Search
365,290,2023-07-16,79.78,Paid Search
366,510,2025-06-22,10.5,Organic
367,797,2025-08-06,170.2,Organic
368,367,2025-09-26,132.64,Referral
369,165,2023-10-02,66.74,Email
370,213,2025-07-06,81.61,
371,241,2025-09-19,92.5,Paid Search
372,688,2024-08-06,10.0,Paid Search
373,588,2025-11-29,65.17,Email
374,153,2023-12-20,39.08,Paid Search
375,741,2025-08-15,19.9,Referral
376,660,2025-03-20,63.13,Email
377,304,2025-03-17,187.86,Email
378,52,2024-12-28,118.45,Organic
379,41,2025-12-01,45.73,Referral
380,369,2025-07-21,114.35,
381,437,2025-11-06,163.96,Paid Search
382,98,2025-01-17,135.48,Paid Search
383,142,2024-10-16,83.58,Referral
384,367,2025-10-25,41.18,Referral
385,751,2025-04-23,121.89,Referral
386,351,2024-10-08,103.61,
387,411,2025-05-26,133.71,Email
388,279,2025-06-23,118.11,Email
389,432,2025-10-12,142.97,Organic
390,116,2023-10-06,47.89,Paid Search
391,164,2024-09-22,159.04,Email
392,605,2025-11-28,91.86,Email
393,186,2025-12-14,204.52,Email
394,798,2025-03-11,38.65,Paid Search
395,701,2025-08-01,184.16,Email
396,500,2024-11-10,91.87,Email
397,452,2025-08-20,40.91,
398,268,2025-05-05,50.97,Referral
399,13,2025-11-09,60.78,
400,686,2024-12-25,105.45,Paid Search
401,444,2025-01-16,111.37,Email
402,355,2025-08-29,45.58,Email
403,153,2025-04-12,78.54,Paid Search
404,12,2025-01-16,208.54,
405,518,2025-12-22,183.65,Email
406,508,2024-02-01,106.18,
407,770,2025-10-31,82.28,Referral
408,247,2025-10-27,87.2,Referral
409,52,2025-07-24,116.81,Organic
410,564,2025-08-28,18.63,Email
411,241,2025-09-29,64.56,Email
412,455,2025-09-21,10.0,Email
413,91,2025-08-25,103.95,Email
414,458,2024-12-15,118.83,Paid Search
415,510,2025-11-09,51.01,Paid Search
416,106,2025-05-29,174.44,Email
417,37,2025-02-26,10.0,Paid Search
418,94,2025-07-12,10.0,
419,521,2025-09-26,93.47,
420,671,2025-10-10,142.83,Email
421,350,2025-03-18,181.04,Paid Search
422,229,2025-10-05,52.47,Referral
423,574,2025-09-07,144.72,
424,734,2025-06-20,77.69,
425,117,2023-12-21,69.64,
426,3,2024-06-11,133.02,Referral
427,649,2025-11-25,119.14,Referral
428,561,2025-05-08,10.0,Referral
429,719,2025-10-15,168.59,Paid Search
430,169,2025-09-28,162.81,
431,735,2025-12-24,42.47,Paid Search
432,261,2025-11-23,103.75,Organic
433,193,2024-11-08,109.64,Email
434,221,2025-04-05,95.64,Organic
435,734,2025-05-25,46.98,Paid Search
436,776,2025-09-03,39.7,Paid Search
437,649,2025-07-17,78.47,Paid Search
438,791,2025-10-08,150.36,Email
439,675,2025-12-30,112.62,Organic
440,511,2024-08-18,57.76,Paid Search
441,567,2025-08-26,126.3,Email
442,521,2025-11-21,10.0,Organic
443,709,2025-12-19,148.93,Organic
444,749,2024-05-27,10.0,Paid Search
445,397,2025-11-24,58.25,Referral
446,517,2024-10-22,12.82,Email
447,624,2025-03-29,10.0,Referral
448,408,2024-10-02,149.65,Referral
449,464,2025-12-11,51.94,Organic
450,142,2025-06-21,100.79,Referral
451,719,2025-12-11,77.18,Referral
452,729,2025-11-10,108.62,Organic
453,206,2023-11-20,84.61,Referral
454,704,2025-06-19,10.0,Organic
455,728,2025-11-30,139.78,Organic
456,516,2025-07-19,50.37,Referral
457,728,2025-09-22,10.0,Referral
458,576,2024-07-21,54.31,
459,691,2025-12-26,170.05,Referral
460,433,2025-02-10,131.01,
461,26,2025-10-02,59.08,Organic
462,55,2025-05-11,59.04,
463,274,2025-05-15,60.7,Referral
464,700,2024-04-19,204.6,Organic
465,64,2025-02-25,102.92,Organic
466,772,2025-10-11,105.8,Paid Search
467,368,2025-11-13,141.82,Email
468,105,2025-10-28,94.33,Organic
469,761,2025-11-02,64.46,
470,244,2025-12-11,68.22,Referral
471,710,2024-09-05,75.7,Email
472,397,2025-03-22,77.77,Referral
473,566,2023-08-05,123.66,Paid Search
474,762,2025-11-28,83.12,Organic
475,636,2025-09-12,123.96,Email
476,231,2025-09-08,75.16,Referral
477,774,2025-01-19,84.72,Organic
478,302,2025-09-16,10.0,Organic
479,700,2023-10-22,134.98,Organic
480,178,2025-12-11,100.79,Paid Search
481,387,2025-10-13,139.88,Email
482,286,2024-10-31,10.0,Referral
483,134,2025-12-06,205.3,Referral
484,6,2025-08-01,71.62,
485,727,2023-11-06,146.49,Paid Search
486,158,2025-04-26,17.61,Paid Search
487,793,2025-05-27,116.77,Email
488,587,2025-01-10,16.8,
489,75,2025-04-09,42.57,Organic
490,189,2025-10-28,194.84,Paid Search
491,518,2024-01-16,68.56,Email
492,557,2025-06-22,93.05,Email
493,95,2024-10-22,132.2,Organic
494,219,2025-03-10,109.74,Referral
495,370,2024-08-04,89.03,Organic
496,771,2025-11-01,101.9,Paid Search
497,118,2025-10-10,224.2,Email
498,247,2025-12-06,76.54,Organic
499,41,2025-09-05,92.07,Referral
500,391,2024-11-09,143.04,Email
501,263,2025-09-10,146.33,Paid Search
502,530,2025-07-29,151.22,Email
503,499,2023-06-07,118.32,Referral
504,668,2024-02-17,11.42,Referral
505,527,2024-06-08,178.01,Paid Search
506,172,2025-10-30,11.22,Paid Search
507,642,2025-12-22,98.16,Organic
