ticket_id,customer_id,created_at,status
1,357,2025-06-27,Closed
2,92,2024-08-31,Closed
3,632,2025-07-17,Pending
4,234,2024-02-04,Closed
5,104,2025-09-13,Pending
6,416,2024-09-29,Pending
7,510,2025-10-13,Open
8,775,2024-04-21,Open
9,272,2025-11-29,Closed
10,360,2025-05-20,Closed
11,371,2023-12-08,Open
12,331,2025-12-03,Open
13,195,2025-09-01,Closed
14,519,2025-04-30,Pending
15,552,2025-06-21,Closed
16,634,2024-10-02,Open
17,96,2025-03-03,Pending
18,613,2025-12-13,Pending
19,415,2025-10-25,Open
20,734,2025-05-27,Pending
21,363,2024-05-22,Open
22,395,2023-10-18,Pending
23,301,2024-09-12,Closed
24,231,2025-06-02,Open
25,252,2025-01-07,Pending
26,281,2024-09-23,Closed
27,230,2025-10-15,Open
28,232,2025-06-19,Pending
29,222,2024-11-27,Open
30,304,2025-03-06,Open
31,627,2024-12-01,Closed
32,425,2025-12-02,Pending
33,582,2024-04-15,Closed
34,191,2025-08-27,Pending
35,410,2025-03-26,Pending
36,397,2024-10-14,Pending
37,373,2025-01-10,Closed
38,380,2025-12-20,Open
39,328,2024-11-14,Closed
40,79,2025-05-07,Open
41,330,2024-12-06,Pending
42,593,2025-09-12,Open
43,520,2025-04-08,Closed
44,549,2024-11-01,Open
45,619,2025-07-09,Pending
46,357,2025-07-23,Closed
47,276,2024-07-28,Closed
48,634,2025-10-08,Closed
49,606,2025-10-20,Open
50,176,2025-06-15,Pending
51,460,2025-11-03,Pending
52,59,2025-05-21,Closed
53,724,2023-10-20,Open
54,699,2024-11-08,Open
55,737,2025-11-25,Pending
56,259,2025-11-22,Open
57,731,2025-10-30,Closed
58,442,2023-11-03,Closed
59,221,2025-07-18,Closed
60,318,2025-11-15,Pending
61,691,2025-05-13,Closed
62,239,2024-11-19,Pending
63,417,2025-11-14,Pending
64,698,2025-02-07,Closed
65,7,2024-09-15,Pending
66,773,2025-11-25,Pending
67,123,2025-11-21,Open
